ev_id,regis_no,damage,acft_make,acft_model,acft_category,total_seats,num_eng,date_last_insp,owner_country,oper_name,dprt_apt_id,dprt_city,dprt_state,dprt_country,dprt_time,dest_apt_id,dest_city,dest_state,dest_country,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,latitude,longitude,apt_name,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,wind_vel_kts,altimeter,ev_highest_injury,inj_total,lchg_date,dec_latitude,dec_longitude,finding_code,finding_description,occurence_description
20120612X01249,N352NW,,AIRBUS,A320-212,AIR,157,2,,USA,Delta Air Lines,MSN,Madison,WI,USA,247,MSP,Minneapolis,MN,USA,DCA12CA088,ACC,6/11/2012,Mo,420,Minneapolis,MN,USA,55111,2012,6,445233N,0931311W,,NITE,FEW,700,11000,OVC,5,29.76000023,SERS,150,9/25/2020,44.875831,-93.219718,303202083,Environmental issues-Conditions/weather/phenomena,Approach Turbulence encounter
20120613X32202,N16709,,BOEING,737-724,AIR,124,2,5/14/2012,USA,United Airlines,IAH,Houston,TX,USA,57,LGA,La Guardia,NY,USA,DCA12LA091,ACC,6/13/2012,We,117,Winnie,TX,USA,77665,2012,6,294713N,0094283W,,DUSK,SCAT,0,0,NONE,6,30.04000092,SERS,81,9/25/2020,29.786945,-94.467498,206353844,Personnel issues-Task performance-Use of equip/Communication,Enroute-climb to cruise Turbulence encounter
20120621X34639,N552JB,,AIRBUS,A320,AIR,160,2,6/13/2012,USA,JetBlue Airways,LAS,Las Vegas,NV,USA,2300,JFK,New York,NY,USA,DCA12IA096,INC,6/17/2012,Su,2308,Las Vegas,NV,USA,11005,2012,6,404535N,0734239W,Las Vegas McCarran Internation,DAYL,FEW,14000,0,NONE,11,29.78000069,NONE,154,9/25/2020,40.759628,-73.710739,102291005,Aircraft-Aircraft systems-Equipment/furnishings,Initial climb Sys/Comp malf/fail (non-power)
20120727X13551,N379SW,MINR,BOEING,737-3H4,AIR,145,2,11/5/2011,USA,Southwest Airlines,KLAS,Las Vegas,NV,USA,1841,KELP,El Paso,TX,USA,DCA12IA113,INC,7/27/2012,Fr,2014,El Paso,TX,USA,79925,2012,7,314826N,1062235W,El Paso International Airport,DAYL,FEW,5500,15000,BKN,16,30.09000015,NONE,76,9/25/2020,31.807222,-106.376388,101052013,Aircraft-Aircraft handling/service-Towing and taxiing,Approach Aircraft structural failure
20120802X03552,N37420,MINR,BOEING,737-924ER,AIR,191,2,,USA,United Airlines,DFW,Dallas,TX,USA,1318,,Denver,CO,USA,CEN12IA502,INC,7/31/2012,Tu,1509,Denver,CO,USA,80249,2012,7,395142N,1044023W,Denver International Airport,DAYL,FEW,12000,20000,BKN,19,30.17000008,NONE,157,9/25/2020,39.861667,-104.673057,302204582,Environmental issues-Physical environment-Object/animal/bird,Enroute-descent Birdstrike
20120807X32623,N134HQ,,EMBRAER,ERJ 170-200 LR,AIR,84,2,,USA,Republic Airlines,PHL,Philadelphia,PA,USA,1155,JAX,Jacksonville,FL,USA,ERA12LA498,ACC,8/5/2012,Su,1312,Hilton Head,SC,USA,29926,2012,8,032120N,0080360W,,DAYL,SCAT,1700,2200,BKN,8,30.17000008,SERS,76,9/25/2020,32.2,-80.599998,204101543,Personnel issues-Action/decision-Action-Incorrect action performance,Enroute-descent Turbulence encounter
20121005X05550,N894AT,SUBS,BOEING,717-200,AIR,123,2,10/2/2012,USA,Southwest Airlines,KATL,Atlanta,GA,USA,2225,KMKE,Milwaukee,WI,USA,CEN13LA004,ACC,10/5/2012,Fr,110,Milwaukee,WI,USA,53233,2012,10,425629N,0875329W,General Mitchell International,NITE,SCAT,7000,8500,BKN,11,30.01000023,NONE,108,9/25/2020,42.941387,-87.891387,302202581,Environmental issues-Physical environment-Object/animal/bird,Standing-engine(s) not oper Aircraft servicing event
20121018X62210,N625SW,,BOEING,737-3H4,AIR,149,2,10/14/2012,USA,Southwest Airlines,KOKC,Oklahoma City,OK,USA,2214,KLAS,Las Vegas,NV,USA,WPR13CA016,ACC,10/17/2012,We,130,Las Vegas,NV,USA,89119,2012,10,036448N,0011598W,Las Vegas,DAYL,CLER,0,0,NONE,3,29.72999954,SERS,86,9/25/2020,36.080001,-115.152221,304101083,Environmental issues-Task environment-Physical workspace,Enroute-cruise Cabin safety event
20121107X21801,N908DE,,BOEING,MD-88,AIR,142,2,,USA,Delta Air Lines,,Atlanta,GA,USA,0,MIA,Miami,FL,USA,ENG13IA005,INC,11/7/2012,We,0,Atlanta,GA,USA,20706,2012,11,385734N,0765057W,,NITE,,0,0,,,0,NONE,147,9/25/2020,38.959316,-76.849296,105725013,Aircraft-Aircraft power plant-Engine (turbine/turboprop),Initial climb Uncontained engine failure
20130220X32821,N261PS,MINR,BOMBARDIER,CL-600-2B19,AIR,40,2,1/27/2013,USA,PSA Airlines,CLT,Charlotte,NC,USA,,VPS,Valparaiso,FL,USA,DCA13IA058,INC,2/7/2013,Th,1540,Bowman,GA,USA,30624,2013,2,341524N,0825857W,,DAYL,,0,0,,,0,MINR,40,9/25/2020,34.256668,-82.982498,204152044,Personnel issues-Action/decision-Action-Incorrect action performance,Enroute-cruise Aerodynamic stall/spin
