Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01405E+12,20-May-14,6-May-14,CHA,Chattanooga Metropolitan,USAir  ,Property Damage,Checkpoint,Personal Electronics,$249.00 ,Settle
2.01406E+12,11-Jun-14,8-Jun-14,BUR,Bob Hope ,Southwest Airlines  ,Property Damage,Checkpoint,Personal Electronics,$249.00 ,Approve in Full
2.01406E+12,16-Jun-14,3-May-14,JFK,John F. Kennedy International,EL AL Israeli Airlines  ,Property Damage,Checkpoint,Personal Electronics,$249.00 ,Settle
2.01405E+12,15-May-14,10-Sep-13,EWR,Newark International Airport,EL AL Israeli Airlines  ,Property Damage,Checkpoint,Computer & Accessories,$248.24 ,Settle
2.01402E+12,28-Jan-14,30-Dec-13,SEA,Seattle-Tacoma International,Southwest Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$247.00 ,Settle
2.01409E+12,2-Sep-14,22-Aug-14,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Accessories,$247.00 ,Settle
2.01401E+12,15-Jan-14,9-Jan-14,BOS,Boston (Logan) International Airport ,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Clothing,$246.40 ,Settle
2.01405E+12,13-May-14,24-Jan-14,SLC,Salt Lake City International Airport,Frontier Airlines,Property Damage,Checked Baggage,Audio/Video,$245.70 ,Settle
2.01406E+12,16-Jun-14,17-May-14,SEA,Seattle-Tacoma International,Southwest Airlines  ,Property Damage,Checked Baggage,Other,$245.00 ,Approve in Full
2.01405E+12,19-May-14,15-May-14,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Property Damage,Checkpoint,Jewelry & Watches,$244.69 ,Approve in Full
2.01401E+12,27-Jan-14,13-Jan-14,JFK,John F. Kennedy International,Air China,Passenger Property Loss,Checked Baggage,Personal Electronics,$244.40 ,Settle
2.01401E+12,8-Jan-14,14-Jun-13,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Other,$244.27 ,Approve in Full
2.01408E+12,12-Aug-14,11-Jun-14,DEN,Denver International Airport ,American Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$243.84 ,Settle
2.01407E+12,15-Jul-14,4-Jun-14,LAX,Los Angeles International Airport ,Virgin America,Property Damage,Checked Baggage,Baggage/Cases/Purses; Other,$243.77 ,Approve in Full
2.01401E+12,21-Jan-14,31-Dec-13,MIA,Miami International Airport,British Airways  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$240.00 ,Approve in Full
2.01407E+12,22-Jul-14,6-Jan-14,JFK,John F. Kennedy International,Cathay Pacific - CX,Property Damage,Checkpoint,Jewelry & Watches,$240.00 ,Approve in Full
2.01401E+12,19-Jan-14,14-Jan-14,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$239.99 ,Settle
2.01404E+12,15-Apr-14,18-Mar-14,MCO,Orlando International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Personal Accessories,$237.79 ,Approve in Full
2.01402E+12,12-Feb-14,29-Jan-14,DFW,Dallas-Fort Worth International Airport ,Spirit Airlines,Passenger Property Loss,Checked Baggage,Other,$237.50 ,Settle
2.01408E+12,28-Jul-14,8-Apr-14,EWR,Newark International Airport,UAL  ,Property Damage,Checked Baggage,Home Decor,$236.78 ,Settle
2.01408E+12,9-Jul-14,16-Jun-14,PDX,Portland International,UAL  ,Passenger Property Loss,Checked Baggage,Cameras,$234.19 ,Settle
2.01402E+12,19-Feb-14,13-Jan-14,BDL,Bradley International Airport,Jet Blue,Property Damage,Checked Baggage,Other,$233.23 ,Approve in Full
2.01401E+12,27-Jan-14,10-Oct-13,LAX,Los Angeles International Airport ,UAL  ,Property Damage,Checkpoint,Personal Electronics,$230.11 ,Settle
2.01408E+12,1-Aug-14,13-Jul-14,OAK,Metropolitan Oakland International,Alaska Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$230.00 ,Approve in Full
2.01409E+12,25-Aug-14,6-Aug-14,DCA,Ronald Reagan Washington National Airport,USAir  ,Property Damage,Checkpoint,Computer & Accessories,$230.00 ,Settle
2.01404E+12,9-Apr-14,20-Jan-14,HNL,Honolulu International Airport,UAL  ,Property Damage,Checked Baggage,Other; Other,$229.95 ,Approve in Full
2.01405E+12,12-May-14,4-May-14,PHL,Philadelphia International Airport,USAir  ,Property Damage,Checked Baggage,Clothing,$229.53 ,Approve in Full
2.01402E+12,12-Feb-14,4-Feb-14,MDW,Midway International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Clothing,$229.39 ,Approve in Full
2.01401E+12,24-Jan-14,11-Jan-14,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,$229.00 ,Approve in Full
2.01402E+12,21-Feb-14,16-Jan-14,LAX,Los Angeles International Airport ,Air Canada,Property Damage,Checkpoint,Personal Electronics,$228.11 ,Approve in Full
2.01405E+12,16-May-14,12-Apr-14,IND,Indianapolis International,Southwest Airlines  ,Property Damage,Checkpoint,Other,$228.11 ,Approve in Full
2.01406E+12,19-Jun-14,9-Jun-14,JFK,John F. Kennedy International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,$228.04 ,Approve in Full
2.01403E+12,13-Mar-14,19-Feb-14,IAD,Washington Dulles International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cameras; Cameras,$227.66 ,Settle
2.01403E+12,20-Mar-14,19-Feb-14,DEN,Denver International Airport ,USAir  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$227.36 ,Settle
2.01401E+12,7-Jan-14,22-Dec-13,DAL,Dallas Love Field,Southwest Airlines  ,Property Damage,Checkpoint,Personal Electronics,$225.00 ,Settle
2.01402E+12,7-Feb-14,2-Feb-14,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$225.00 ,Settle
2.01404E+12,7-Apr-14,25-Mar-14,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cameras,$225.00 ,Approve in Full
2.01404E+12,15-Apr-14,14-Dec-13,PBI,Palm Beach International,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,$225.00 ,Approve in Full
2.01407E+12,20-Jun-14,24-Apr-14,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checkpoint,Jewelry & Watches,$225.00 ,Approve in Full
2.01409E+12,25-Aug-14,5-Aug-14,PHL,Philadelphia International Airport,USAir  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,$225.00 ,Settle
2.01407E+12,2-Jul-14,29-Jun-12,HLN,Helena Regional,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$224.99 ,Approve in Full
2.01406E+12,10-Jun-14,9-Jun-14,ATW,Outagamie County,UAL  ,Property Damage,Checkpoint,Personal Accessories,$223.71 ,Settle
2.01406E+12,29-May-14,20-Feb-14,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$223.55 ,Settle
2.01407E+12,23-Jun-14,14-Apr-14,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,$222.28 ,Approve in Full
2.0141E+12,21-Oct-14,11-Sep-14,HNL,Honolulu International Airport,Alaska Airlines  ,Property Damage,Checkpoint,Cameras,$221.85 ,Approve in Full
2.01402E+12,8-Feb-14,10-Jan-14,EWR,Newark International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cameras,$220.96 ,Settle
2.01404E+12,2-Apr-14,3-Mar-14,IAD,Washington Dulles International,UAL  ,Property Damage,Checkpoint,Personal Electronics,$220.34 ,Approve in Full
2.01403E+12,10-Mar-14,5-Feb-14,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Food & Drink,$219.55 ,Approve in Full
2.01402E+12,6-Feb-14,26-Jan-14,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checkpoint,Computer & Accessories,$219.54 ,Settle
2.01403E+12,10-Mar-14,1-Feb-14,PSP,Palm Springs International,American Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$218.47 ,Approve in Full
2.01407E+12,8-Jul-14,8-Mar-14,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$218.38 ,Approve in Full
2.01403E+12,3-Mar-14,27-Feb-14,JFK,John F. Kennedy International,Turkish Airlines  ,Passenger Property Loss,Checked Baggage,Toys & Games,$218.00 ,Settle
2.01406E+12,25-Jun-14,11-Jun-14,PHL,Philadelphia International Airport,UAL  ,Property Damage,Checkpoint,Clothing,$217.45 ,Approve in Full
2.01401E+12,22-Jan-14,22-Jan-14,HNL,Honolulu International Airport,UAL  ,Property Damage,Checkpoint,Personal Electronics,$216.91 ,Approve in Full
2.01405E+12,19-May-14,3-May-14,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$216.48 ,Approve in Full
2.01405E+12,2-May-14,25-Apr-14,SBA,Santa Barbara Municipal,Frontier Airlines,Passenger Property Loss,Checkpoint,Personal Accessories,$213.73 ,Settle
2.01401E+12,14-Jan-14,2-Dec-13,ORD,Chicago O'Hare International Airport,USAir  ,Passenger Property Loss,Checkpoint,Personal Electronics,$212.93 ,Approve in Full
